RepRapFirmware height map file v2 generated at 2020-09-25 20:56, min error -0.166, max error 0.150, mean -0.009, deviation 0.073
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
-80.00,80.10,-80.00,80.10,100.00,20.00,20.00,9,9
      0,      0,  0.060, -0.047, -0.129, -0.166, -0.139,      0,      0
      0,  0.088,  0.017, -0.037, -0.103, -0.107, -0.116, -0.060,      0
  0.077,  0.026,  0.012, -0.047, -0.085, -0.100, -0.097, -0.046,  0.089
  0.028,  0.038,  0.026, -0.027, -0.037, -0.052, -0.065, -0.048,  0.040
 -0.033,  0.015,  0.024,  0.022,  0.000, -0.041, -0.054, -0.029,  0.042
 -0.063,  0.024,  0.039,  0.062,  0.040, -0.001, -0.036, -0.066, -0.022
 -0.064,  0.051,  0.111,  0.099,  0.053, -0.001, -0.041, -0.085, -0.101
      0,  0.071,  0.112,  0.122,  0.077,  0.008, -0.075, -0.114,      0
      0,      0,  0.150,  0.130,  0.090,  0.005, -0.102,      0,      0
